title,subtitle,short_description,style_description,details,price,num_colors
Little Kids Hylane Shoe,Always Out There.,Inspired by early-2000s skate styles with a puffy profile and oversized details.,"The Hylane is a Y2K skate-inspired shoe that reinterprets our Upland silhouette from 1999. Nods to the past coexist alongside elevated design details like the iconic 3D Sidestripe™ and embroidered logos, while the chunky stance and puffy skate tongue provide a retro look and feel. Finished with a cupsole construction featuring a unique interlocking V texture, the Kids' Hylane transforms an old school aesthetic into today’s wardrobe essential.","Little Kids' retro puffy low-top shoe Recommended for ages 4 - 8 years Leather and suede for elevated durability Oversized tongue and padded collar for extra comfort Puffy 3D Sidestripe™ blends throwback style with a modern edge Reverse waffle outsole with flex grooves and oversized Vans logo Cupsole construction provides enhanced support and durable Wide laces for bold style and adjustable, secure fit",$55.00,7 colors
Little Kids Sk8-Mid Reissue V Shoe,A mid top made easy,"Mid-top fit, classic Vans style and easy hook-and-loop closures.","Inspired by the legendary Vans high-top that launched in the 70s, the Youth Sk8-Mid Reissue V Shoe is a versatile mid-top shoe with just the right amount of ankle height and padding. Along with a familiar Sk8-Hi aesthetic, this youth-friendly silhouette features hook-and-loop closures for a secure fit that’s easy to take on and off without fuss.",Youth mid top shoe Recommended for ages 8 - 13 years Sturdy suede and canvas uppers Padded collar for enhanced support and comfort Double hook-and-loop closures for easy on and off Durable rubber sidewall with classic foxing stripe Signature waffle outsole pattern for reliable grip since '66 Vulcanized sole for original look and feel Iconic Sidestripe™ insignia,$50.00,2 colors
Little Kids Classic Slip-On Shoe,No laces. Always iconic.,"Skateboarding’s original Slip-On, as iconic as ever.","Since its debut in 1979, the Slip-On has embodied Southern California’s casual, creative spirit. What started as a laid-back skate staple has become a pop culture icon—a global symbol of rebellion and self-expression.",Slip on shoe Canvas upper for a durable and classic look Padded collar for enhanced support and comfort Elastic side panels give a comfortable easy on-and-off fit Rubber sidewall with classic foxing stripe Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel,$40.00,12 colors
Sk8-Hi GORE-TEX Shoe,Hi and dry.,"The iconic Sk8-Hi, now reinforced with GORE-TEX waterproofing and Duratherm insulation.","When the weather goes from good to bad, the Sk8-Hi GORE-TEX is there for you. This insulated take on our Classic high-top silhouette has everything you need to take on winter—breathable GORE-TEX waterproofing, 200-gram Duratherm insulation and a grippy All-Trac outsole.",Made with leather and 100% recycled pet textile uppers. PFAS-free GORE-TEX® waterproof package for the best wet-weather protection. Ultracush™ drop-in footbed for all-day comfort and support. Durable All-Trac rubber compound provides multi-surface traction.,$140.00,1 color
Standard Mid Waterproof Boot,Ready for winter.,Built to handle the elements with waterproof construction and 100-gram weight insulation.,"A wintertime favorite for decades, the Standard Mid Waterproof Boot is a scaled-down version of our best-selling Standard snow boot. Waterproof seam-sealed construction and 100-gram insulation keep your feet warm and dry, while an All-Trac outsole provides reliable grip in any condition. Combine it with our iconic Sidestripe, and you get a boot that's classic, comfortable and ready for anything.","Leather and rubber upper Waterproof vulcanized and seam-sealed construction to keep your feet dry in wet-weather conditions Snow MTE™ felt liner thermal package for warmth in cold temperatures Standard Snow MTE™ outsole with All-Trac cold weather rubber compound for traction on various terrain and conditions Part of our MTE™—Made for the Elements—collection, built for water protection, thermal regulation, and traction when you need it most",$150.00,3 colors
Big Kids Hylane Gum Shoe,Always Out There.,Inspired by early-2000s skate styles with a puffy profile and oversized details.,"The Hylane is a Y2K skate-inspired shoe that reinterprets our Upland silhouette from 1999. Nods to the past coexist with elevated design details like the Puffy 3D Sidestripe™, embroidered logos, and oversized laces, while the chunky stance and puffy skate tongue provide a retro feel. Finished with a cupsole construction featuring a unique interlocking V texture, the Kids' Hylane transforms an old school aesthetic into today’s wardrobe essential.","Youth puffy low-top shoe Recommended for ages 8 - 13 years Leather upper for a smooth, durable finish Oversized tongue and padded collar for support and comfort Puffy 3D Sidestripe™ blends throwback style with a modern edge Reverse waffle outsole with flex grooves and oversized Vans logo Cupsole construction provides enhanced support and durability Oversized laces for bold style and secure, adjustable fit",$65.00,7 colors
Little Kids Knu Skool Shoe,In with the Knu.,"90s-inspired take on the Old Skool with a puffy tongue, 3D SideStripe™ and chunky laces.","The Kids' Knu Skool is a modern interpretation of a classic '90s style, defined by its puffed up tongue and puffy 3D Sidestripe™ and tied off with oversized, chunky laces. With its in-your-face profile and dramatic two-toned style details, the Kids' Knu Skool plays off of the original Old Skool, blending an icon of the past with today’s trends.","Little Kids' '90s low-top shoe Recommended for ages 4 - 8 years Leather and suede for elevated durability Oversized tongue and padded collar for extra comfort Heel pulls for ease of entry Durable rubber sidewall with classic foxing stripe Puffy 3D Sidestripe™ blends throwback style with a modern edge Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel Wide laces for bold style and adjustable, secure fit",$50.00,10 colors
Big Kids Hylane Shoe,Skate nostalgia redefined.,"Inspired by early 2000s skate styles, with a puffy profile and oversized details.","The Hylane is a Y2K skate-inspired shoe that reinterprets our Upland silhouette from 1999. Nods to the past coexist alongside elevated design details like the 3D glossed Sidestripe and embroidered logos, while the chunky stance and puffy skate tongue provide a retro look and feel. Finished with a cupsole construction featuring a unique interlocking V texture, the Kids' Hylane transforms an old school aesthetic into today's wardrobe essential.","Youth puffy low-top shoe Recommended for ages 8 - 13 years Leather upper for a smooth, durable finish Oversized tongue and padded collar for support and comfort Puffy 3D Sidestripe™ blends throwback style with a modern edge Reverse waffle outsole with flex grooves and oversized Vans logo Cupsole construction provides enhanced support and durability Oversized laces for bold style and secure, adjustable fit",$65.00,8 colors
Toddler Classic Slip-On V Shoe,No laces. Always iconic.,"Skateboarding’s original Slip-On, as iconic as ever.","The Toddler Slip-On V remakes our Classic Slip-On with little ones in mind, honoring the heritage of one of our most iconic silhouettes. By adding side hook-and-loop closures and heel pulls to this iconic style, an everyday essential is given a better fit for small feet with even easier on-and-off access.",Toddler slip on shoe Recommended for ages 9 months to 4 years Canvas upper for a durable and classic look Padded collar for enhanced support and comfort Side hook-and-loop closures for easy on and off Heel pull assists with slipping the shoes on quickly Rubber sidewall with classic foxing stripe Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel Iconic Sidestripe™ insignia,$40.00,4 colors
Crosspath XC Shoe,Off the grid.,All-terrain versatility with speed-lacing and a Vibram outsole for comfort and traction.,"Go from Off The Wall to Off The Grid in the Crosspath XC. Designed for everyday exploration with a Vibram sole that provides unparalleled grip and stability on any terrain. Plus, a water-repellent upper protects you from wet conditions, and an UltraCush midsole adds plush cushioning for all day comfort.","Water-repellant, all-terrain low-top sneaker Designed for daily wear, unexpected weather, and light outdoor activities Technical PET meshes, suede and textiles upper Abrasion-resistant paneling enhances protection and agility DWR (durable water repellent) coating to shed light moisture Speedlace system with clip for quick, on-the-go adjustments Easy-on pull tabs for added convenience UltraCush™ foam cushioning provide a more comfortable ride Vibram XS TREK EVO sole adds multi-surface, responsive traction All-new tread profile for superior traction and durability Iconic Sidestripe™ insignia Heel-to-toe drop: 7 mm Weight: 14.35 oz",$145.00,7 colors
